Raw Dataset Extracted from Call Reports,,,,,,,,FFIEC Call Report Reference Guide,,,,,,
Bank,Year,Schedule,Line Item,Code,Value (000s),Source Page,,Category,Code / Term,Full Name,What It Represents,Why It Matters in Analysis,,
PNC,2025,RC,Total Equity Capital,RCFD3210,"57,348,704",RC p.20,,,,,,,,
PNC,2024,RI,Net Income Attributable to Bank,RIAD4340,"6,200,272",RI p.9,,,,,,,,
PNC,2024,RI,Net Interest Income,RIAD4074,"14,226,471",RI p.8,,,,,,,,
PNC,2024,RI,Total Noninterest Income,RIAD4079,"7,778,298",RI p.9,,,,,,,,
PNC,2024,RI,Total Noninterest Expense,RIAD4093,"13,043,794",RI p.9,,,,,,,,
PNC,2024,RI,Provision for Credit Losses,RIADJJ33,"787,339",RI p.8,,,,,,,,
PNC,2024,RC,Total Assets,RCFD2170,"561,989,000",RC p.17,,,,,,,,
PNC,2024,RC,Total Loans (Gross),RCFD2122,"322,241,000",RC-C p.23,,,,,,,,
PNC,2024,RC,Allowance for Credit Losses,RCFD3123,"5,354,000",RC p.19,,,,,,,,
PNC,2024,RC,Total Deposits,RCON2200,"440,970,000",RC p.18,,,,,,,,
PNC,2024,RC,Total Equity Capital,RCFD3210,"55,934,000",RC p.20,,,,,,,,
PNC,2023,RI,Net Income Attributable to Bank,RIAD4340,"5,739,000",RI p.9,,,,,,,,
PNC,2023,RI,Net Interest Income,RIAD4074,"13,259,000",RI p.8,,,,,,,,
PNC,2023,RI,Total Noninterest Income,RIAD4079,"7,184,000",RI p.9,,,,,,,,
PNC,2023,RI,Total Noninterest Expense,RIAD4093,"12,745,000",RI p.9,,,,,,,,
PNC,2023,RI,Provision for Credit Losses,RIADJJ33,"1,587,000",RI p.8,,,,,,,,
PNC,2023,RC,Total Assets,RCFD2170,"559,344,000",RC p.17,,,,,,,,
PNC,2023,RC,Total Loans (Gross),RCFD2122,"320,236,000",RC-C p.23,,,,,,,,
PNC,2023,RC,Allowance for Credit Losses,RCFD3123,"5,206,000",RC p.19,,,,,,,,
PNC,2023,RC,Total Deposits,RCON2200,"438,321,000",RC p.18,,,,,,,,
